content,year,prediction
反映出我国社会主义建设的飞快步伐来比锡博览会中国馆博得好评乌布利希副总理说中国十五年内定能赶上英国刘桂梁第版专栏反映出我国社会主义建设的飞快步伐来比锡博览会中国馆博得好评乌布利希副总理说中国十五年内定能赶上英国据新华社来比锡日电本社记者刘桂梁报道中国工人阶级为掌握最现代化的技术而进行的严肃斗争一定能使中国在十五年内赶上英国这是德意志民主共和国第一副总理乌布利希在参观了年来比锡春季国际博览会中的中国馆以后所作的评语中国馆从日下午正式开放以来一直是这里吸引观众最多的展览馆之一从早到晚参观者络绎不绝今年的中国馆尽管展出面积略有缩小但是在品种和质量上更加丰富多彩了中国馆的三千六百多种展品中不但大部分是最近一年内的新产品而且几乎全部是可以出口的展览同出口贸易密切结合这正是中国馆这次展出的首要特点民主德国对外与国内贸易部副部长维利许滕劳赫说从年以来中国馆的八次展出历次都像一面镜子似地反映出中国社会主义建设的飞快发展从今年的展出中可以鲜明地看出中国由于胜利地完成了第一个五年计划而在经济结构上呈现的崭新面貌和它的日益增长的对外贸易能力在全部展品中特别受到专家注意的是质量和精密程度都比去年有显著提高的一千多种重工业产品尤其是设置在全馆中央的二十二台精密工作母机它们全都是我国年的新产品好多位德国专家和工程师看了这些机器后都说一看这些机器的质量和精密程度就可以知道中国工业化的进度是多么快当记者在中国馆遇到三年前访问过我国的英国工党议员阿瑟刘易斯问他如何评价中国的展品时他说不消说你们的那些传统出口物资对所有的西欧厂商有着巨大的吸引力但是使我感到特别惊讶的是你们在机器制造业方面的飞跃进步他指着那些精密工作母机说它们都是第一流的电讯器材方面的新产品也同样受到了各国客人们的注意今年中国馆的展品布置得格外紧凑集中地显示了我国轻工业食品工业和手工艺品一年来品种花样和质量方面的显著扩大和提高许多参观者一走进大门就喊出啊这真是中国特有的风格首先映入客人们眼帘的是光彩夺目备受欧洲妇女喜爱的丝绸锦缎呢绒地毯针织品和在国际市场上素负声誉的烟酒茶粮水果罐头油脂皮革猪鬃肠衣等土特产品这些中国传统的出口物资受到了各国客人们的普遍赞扬中国手工艺工匠们精心制作的新产品也引起大批观众的浓厚兴趣各国的客人们都以很大的注意仔细地参观了具有国际水平的中国各种金笔一位来自非洲的客人看了这种金笔后立刻探询它们是否出卖当一个美国记者听说中国的制笔工人决心要在两三年内使英雄牌金笔赶上美国派克五一型金笔的时候他说他认为这是完全可能的,1958,0
不受欢迎的美国人苏蓝第版专栏伦敦通讯不受欢迎的美国人本报记者苏蓝鲁斯里普鲁斯里普是伦敦郊区的一个小镇这个小镇的有名并非因为在这儿有个美国可口可乐工厂而是因为它是美国战略空军司令部的所在地空军司令部背靠着铁路在铁路的那一边就是个飞机场初看起来这个红砖砌成的建筑物并没有什么特点但是在它周围布上了一圈铁丝网铁丝网边还竖上了警告来往车辆的牌子慢军机要地危险这一切把这个建筑物披上了神秘的色彩事实上也的确有点神秘在这些房子里有几百名美国军官和参谋人员他们整天忙忙碌碌地在干些什么从这儿有电话直通华盛顿纽约和巴黎的北大西洋集团司令部它指挥着美国驻在英国的战略空军在窄窄的英伦三岛上美国空军基地占有三十七平方英里的土地驻扎着三万六千名美国空军从这些基地上飞起了载有氢弹的轰炸机掠过伦敦牛津考文垂爱丁堡的上空人们甚至担心这三万六千个美国人中如果有一个像美国前国防部长福莱斯特尔一样地发了疯那末一场大灾难就会平空地落在英国人的头上不安变成愤怒英国人的不安由于美国在英国建立导弹基地协定的生效而变成了愤怒这种情绪表现在六十九名工党议员的公开信中表现在英国报纸举办的民意测验的结果中表现在议会门前要求议员接见的选民队伍中它更突出地表现在英共组织的反对美国导弹基地的运动得到愈来愈广泛的支持这一事实上面抗议的签名书从伦敦工人日报和英共的地方组织中分发出去征得了一批又一批的签名其中包括伦敦地区一百五十名工会领袖签名书上写道英国人民决不能像羊一样被牵到屠场上去解决国际重要问题的途径不是通过氢弹和导弹而是东西方首脑会议从四面八方传来的抗议声使得保守党政府更急于掩饰英美协定的真实情况正当究竟谁按电钮的问题在议会中纠缠不清的时候一件使人恼火的事情发生了英国政府公布的备忘录中说导弹将由英国来管理和操纵但是华盛顿的一个美国军官第六七二雷神导弹中队指挥官空军上校亨利辛克得意洋洋地宣称美国士兵将严格管理第一个在英国的雷神导弹基地他还吹嘘他的中队的任务是在敌人进攻的十五分钟内进行报复假若情况紧急在接到命令的两分钟内就可以放射出去接着是舆论大哗英国国防大臣桑迪斯赶紧出来否认说这位美国上校的话是不正确的把导弹搬回纽约去嘘嘘嘘在鲁斯里普美国战略空军司令部前面的广场上约六千人对着低垂的美国星条旗齐嘘三声这是游行示威的群众对美国战略空军司令部的抗议他们要求这里的指挥官接见他们的代表团把美国佬滚回去的要求转达给艾森豪威尔但是这里的美国指挥官不知躲到何处去度过这个不平静的周末这是月日下午发生的事情在伦敦兰开夏南威尔士苏格兰都在同一个时间举行了大示威这是英国人民反对美国建立导弹基地斗争的第一个高潮在鲁斯里普的示威包括从伦敦来的大批工人知识分子和家庭妇女从伯明翰考文垂南安普顿和东安格利地来的代表他们举着标语牌和旗帜上面写着我们这里不要导弹基地立即举行首脑会谈当队伍经过司令部门前时他们就高呼美国佬滚回去我们要和平这时美国司令部门窗紧闭死气沉沉只有英国警察分成两排守卫着大门游行队伍通过司令部门前后就在对面的广场上举行群众大会英共总书记高兰在麦克风前问道美国在英国建立导弹基地是为了和平还是为了战争从群众中传来了吼声战争高兰问美国在英国建立导弹基地能不能促进和平群众的吼声是不能那末让他们把导弹基地设到纽约和芝加哥去吧不受欢迎的美国佬确实应该考虑一下是你们回家的时候了附图片伦敦人民在美国空军司令部的铁丝网上贴上赶快关闭美国佬的基地的标语,1958,0
比劳动比节约比学习比除四害哈尔滨妇女向十三城市姐妹挑战第版专栏比劳动比节约比学习比除四害哈尔滨妇女向十三城市姐妹挑战据新华社哈尔滨日电哈尔滨市一千二百多名勤俭持家积极分子代表全市妇女向北京上海武汉沈阳长春吉林和本省齐齐哈尔佳木斯等十三个城市的妇女倡议展开勤俭持家竞赛这个挑战是在月日闭幕的全市妇女勤俭持家积极分子大会上提出的哈尔滨市妇女在挑战书中提出了比劳动比节约比学习比除四害比扫文盲比先进等竞赛条件她们提出市郊农村以上的女劳动力全年要出勤一百二十到二百五十天今年要养猪二十三万口养鸡一百一十六万多只她们还提出要普遍养成精打细算有计划地俭朴地过日子的习惯城市每户每月要储蓄两元到四元农村每户每月存款一元到两元采取各种办法在定量基础上平均每户每月节约一斤粮食争取每人一年节约一尺布哈尔滨市妇女还提出要积极参加除四害为中心的爱国卫生运动和扫除文盲运动和全市人民一道争取在今年内实现八无城无鼠无雀无蝇无蚊和消灭臭虫虱子跳蚤蟑螂和扫除妇女文盲,1958,0
从贵州日报看贵州第版专栏从贵州日报看贵州集贵州日报的报道工业交通贵阳市计划五年内新建厂矿五十一个工业总产值计划比年增加六倍多那时农业生产需要的主要机械设备和中小型厂矿需要的机械设备贵阳市大都可以供应铜仁专区在月份内已新建厂矿三十六个平均每二十个小时就有一个新厂矿投入生产贵阳肥皂厂改进配料改善操作大大提高肥皂质量四项质量指标已赶上上海川黔滇黔湘黔和黔桂四条铁路的集中点贵阳铁路枢纽的定测工作已在春节前提前两个多月抢测完成镇远县羊场区的群众自己出钱自己测量自己动手在七天中就修通了二十二条简易公路使全区社社可通马车农林水利从今年元旦起的五十七天中全省造林八百一十一万多亩比前五年造林总面积还多一百多万亩平均全省每两人造林一亩遵义县群众从月日到月日止共造林一百零八万亩使全县基本绿化月日贵州各族青年在正修建的乌江大桥北岸的山坡上举行动员大会决心在一两年内把乌江两岸变成绿荫长堤金沙县群众经过二十五天的奋战已经在月日实现水利化每人拥有水田一亩六分多毕节县有很多被称为痾屎不生蛆的土地在大跃进中群众掀起了改良土壤的高潮到月日止已改良十九万四千多亩比过去五年改良土壤的面积还要多五千多亩超额完成了今年改良土壤的计划估计可增产粮食近三千万斤盘县供销合作社土特产品普查队在八大山发现九十五种土特产品价值达三十多万元这些产品开发以后可为山区居民增加收入二十万元山区每户平均每年可增加收入一百四十元文教卫生江口县正在每乡每社办新式农具妇女训练班今年要有两万个青壮年妇女学会五到十种技术做到件件新式农具都有妇女会使用曾以亩产八百斤向贵州全省挑战的江口县提倡社社有技术夜校队队有技术员到月日为止已成立技术夜校一百五十六所解放前各种恶性传染病非常猖獗的水城县阿戛区倮摩乡现在已经基本消灭四害粮食亩产已由解放前的二三百斤增加到八百斤今年要争取粮食亩产一千二百斤石阡县尧上乡经过三年努力已基本消灭了严重危害人民生命的疟疾破除迷信位于苗岭上的台江县的苗族人民破除了修厕所就会败坏龙脉的迷信在一个月左右全县就新修了一千九百四十六个厕所做到家家有厕所户户积大粪毕节县群众破除了献山林中一草一木都不准动的迷信把三个献山林献出来了挖出的肥料可使全社每亩地施肥一万二千斤附图片,1958,0
北京的星期天江城苗地第版专栏北京的星期天江城诗苗地画说起北京星期天不谈戏院和公园城里城外走一走新人新事看不完清早商店未开门街头传来卖报声为啥声音这样脆原来都是红领巾空地上人来人往男女老少种树忙要给首都披绿袄再加一件花衣裳红旗飘展公主坟自行车手赛本领风驰电掣转眼过只见车轮不见人宣武门外护河边校旗飞舞映蓝天今日挥锹宽河道他年立志改山川将军兵士列队来脱下军衣把土担消灭洼地干劲大忘了喝水和吃饭扛锹提罐去挖蛹厕旁宅边歼敌人除害要尽还趁早早早实现四无城芦沟桥下蒙蒙雨青年鼓劲捉田鼠管它衣湿与天寒捣尽鼠穴再回去星期天事事新鲜如今只说这七件谁也不愿去休息战斗劳动度一天附图片,1958,0
永远保持最可爱的人的荣誉张天云中将的讲话摘要第版专栏永远保持最可爱的人的荣誉张天云中将的讲话摘要亲爱的祖国的亲人们离开你们七年多的我们现在已经回到祖国的怀抱回到母亲和亲人身边来了我们向久别的祖国亲人们问好向敬爱的毛主席问好亲人们当我们的火车驰过鸭绿江桥踏上抚育和生长了我们的国土的时候我们的心里无限兴奋和快乐特别是祖国人民对自己胜利归来的儿女举行这样盛大热烈的欢迎使我们万分感动但是我们也感到非常不安因为我们只不过是尽了一个普通中国公民应尽的义务当祖国受到威胁当邻邦遭到危难的时候我们响应了抗美援朝保家卫国的号召跨过鸭绿江同英雄的朝鲜人民和人民军一起打败了侵略者实现了朝鲜停战在停战后又共同维护了朝鲜的和平志愿军所做的这一切都不过是作为一个祖国的儿女所应该做的而且也都是祖国人民全力支援的结果是我们的党和毛主席正确领导的结果志愿军在伟大的抗美援朝斗争中所取得的一切胜利和荣誉都应该归于伟大的祖国人民归于党和毛主席中国人民志愿军从入朝参战的头一天起就一直努力于争取朝鲜问题的和平解决朝鲜停战以后在年到年期间中国人民志愿军就曾经主动地先后三次从朝鲜撤回了十九个师的部队在今年月日朝鲜政府再一次提出一切外国军队撤出朝鲜实现朝鲜和平统一的主张后中国人民志愿军就热烈响应在中朝两国政府就志愿军撤出朝鲜问题进行了磋商并发表了联合声明后不到一个月的时间志愿军就已经开始了首批部队从朝鲜撤出的行动这就再一次向全世界证明了志愿军抗美援朝完全是出于正义的行动现在全世界爱好和平的人民都在注视着美国美国当局如果多少还有一点和平诚意的话就没有任何理由在朝鲜继续盘踞下去在这次我们撤离朝鲜的前夕向各地朝鲜人民告别的时候到处都出现了中朝友谊的动人场面在无数告别送行的集会上都是会散了又集合起来送出去了又再送回来话说了一遍又一遍手握了一次又一次朝鲜人民和志愿军在分别的时候是这样依依惜别难舍难离这不是寻常的友谊这是在反抗外国侵略的并肩作战中在建设社会主义的共同劳动中用鲜血热汗和一颗颗赤热的心凝结起来的战斗的友谊这种友谊是什么力量都拆不开的它将像鸭绿江的流水长白山的高峰一样万古长存亲人们你们的儿女远离祖国七年多现在又回到正处在社会主义大跃进中的祖国我们实在抑制不住每个人内心的激动最近这两三个月来我们从广播里从报纸上每天都听到看到从祖国传来的一个个激动人心的消息这一切对远离家乡怀念祖国的儿女们来说是莫大的鼓舞又是有力的鞭策的确和祖国人民在社会主义建设中这种翻天复地的伟大气魄移山倒海的革命干劲比起来我们志愿军在抗美援朝斗争中所作的贡献就不过是大海中的一滴罢了现在我们已经回到祖国新的岗位正在等待着我们我们全体官兵都有决心祖国需要我们到那里去我们就到那里去祖国需要我们做什么我们就去做什么我们一定保持祖国人民所给予我们的最可爱的人的荣誉在社会主义建设和保卫社会主义建设的事业中继续毫无保留地贡献出自己的一切伟大的祖国万岁中国共产党万岁毛主席万岁,1958,0
清宫琐记读后杂谈柯庵第版专栏读者谈书清宫琐记读后杂谈柯庵裕容龄写的清宫琐记在新观察杂志上连载之后又由北京出版社出版了书前附有慈禧光绪以及作者等人的多幅照片书内附有多幅宫庭生活的插图版权页上印着初版印数是七万二千册清宫琐记的作者裕容龄是担任过慈禧的御前女官的如果通过作者的回忆能够如实地写出清朝末日的最高统治者慈禧的昏庸腐朽阴险专横这原是一件有益的工作它可以帮助读者更具体地更亲切地了解这一时期的历史面目但是当我们读了清宫琐记以后却不能不感到失望它不仅不能给予读者什么有益的东西而且很可能给某些读者带来思想混乱凡是对中国近代历史稍有常识的人谁都知道从年到年这十多年当中是中国近代史上最黑暗的时期之一帝国主义列强纷纷侵入中国搅起了割地狂潮当时的中国正处在被宰割被瓜分的状态同时帝国主义的侵略和封建统治的腐烂也激发了中国民族的觉醒广大人民和有志之士奋发图强起来反抗侵略保种卫国进行了英勇的斗争在那个时候把中国人民拖入水深火热的境地使中国丧权辱国的主要祸首正是那个代表清代腐朽统治对外卖国对内欺骗专横残暴的慈禧至今当我们再来温习这段历史的时候还忍不住对慈禧及其党羽这一伙卖国贼切齿痛恨然而作者在七万多字的回忆中究竟记述了些什么呢原来是不厌其烦地写宫庭中的吃饭看戏过节拜寿游园宴会画像宫女和太监的装束慈禧和女官的打扮宫庭中的繁琐礼节等等看来当时的中国好像不是处在岌岌可危之中而是一片升平气象慈禧本人也不是那么腐朽昏溃而不过是悠哉游哉的豪华贵妇好像她不是一个封建统治阶级的毒辣而老练的首领而是一个无可奈何的老实人作者就是用一些宫庭生活细节的表面记述把真正的政治问题掩盖下去用一些五颜六色的生活脂粉把这个罪恶渊薮的丑恶面目涂得模糊不清了比如对震动世界的义和团的反帝爱国运动作者称之为庚子之乱只是寥寥数百字带过对这次运动的反帝斗争内容根本没有涉及只是写了慈禧等一小群狼狈逃窜西安的生活情景而对其沿途搜刮受贿勒索的罪行也一字不提总之读者从清宫琐记中看不到慈禧及其党羽倒行逆施媚外卖国的罪行说清宫琐记是一本坏书是不算过分的我们有理由问新观察杂志究竟为什么要用那么多的篇幅来连载这个清宫琐记北京出版社究竟为什么要大量出版这样一本书也许北京出版社在出书的时候也感到出版此书不是没有问题所以才在书后又附了一篇赘言来弥补一下原书的缺陷吧但那效果恐怕是很小的,1958,0
中苏友协举行苏中友好杂志读者座谈会读者盛赞苏中友好杂志第版专栏中苏友协举行苏中友好杂志读者座谈会读者盛赞苏中友好杂志据新华社讯中苏友好协会总会日下午邀请苏中友好杂志的读者举行座谈参加座谈的读者认为今年月由苏联苏中友好协会创办的这个中文刊物对增进中苏两国人民友谊作出了贡献中苏友协总会副会长李德全说这个杂志的出版说明了中苏友谊的进一步发展苏中友好对于苏联人民的幸福生活的介绍鼓舞了中国人民建设社会主义的信心和热情中国人民对外文化协会副会长中国文学艺术界联合会秘书长阳翰笙指出苏中友好全面介绍了为中国人民所关心的苏联的建设成就它在帮助中国人民了解苏联增进中苏友谊发展中苏合作方面作出了很大贡献中国人民对外文化协会理事熊复说中国人民应该学习苏维埃人的精神面貌这个杂志着重地介绍了这一方面并且还介绍了苏维埃制度的优越性这些对中国读者都是大有好处的参加座谈的新闻出版广播邮电部队和工会妇女青年等团体的负责人和代表在发言中对苏中友好备加赞扬并且提出了他们的希望和建议苏联驻华大使馆参赞苏达利柯夫也应邀出席了座谈会,1958,0
兴无灭资扫除邪气上海出版系统展开思想革命为制订个人红专规划打下良好基础季音第版专栏兴无灭资扫除邪气上海出版系统展开思想革命为制订个人红专规划打下良好基础本报讯记者季音报道上海出版系统的二十多个单位最近在双反运动中掀起了一个思想交锋横扫六气的高潮使双反运动真正形成了一次深刻的思想革命现在在这些单位里批评和自我批评的大字报成千累万各种资产阶级错误思想和六气都受到了群众的揭发和批判人们见了面就问你收到了多少大字报如答复说只收到十几张对方会说太少了太少了如果答复说收到了一二百张人们就互相祝贺丰收丰收记者日前参观了扫六气运动进行得最热烈的少年儿童出版社社的领导干部实行了引火烧身的办法一方面自己写大字报揭发批判自己同时也对别人提意见这样群众就对领导干部提出了大量的批评四个主要负责干部共收到了大字报一千一百多张在思想批判高潮中群众的积极性空前高涨很多人用大字报说出了肺腑之言有一位姓赵的工作人员过去一向不问政治沉默寡言人们叫他政治哑巴这次他也写了近二百张大字报其中有五十七张大字报是进行自我批评的有一对夫妇也相互贴大字报进行批评在这些批评中人们揭露了在追求稿费方面赤裸裸的拜金主义如这个社有四个工作人员三年内共请病假二千三百零三天创作了儿童作品四十二部工资照拿外收稿费一万六千九百多元一位工作人员自己画了一张漫画批评自己是白天懒如猫夜晚凶如虎即白天工作没劲晚上在家创作大字报批评一个领导干部对待工作看稿是个人主义的干劲十足社会主义的干劲缺乏另一个领导干部是暮气沉沉骄气逼人酒气熏熏阔气得很美术科科长丁深写了八十多张自我批判的大字报对自己的资产阶级思想作了总检查在一幅对联中他表示自己的思想改造的决心说缔盟卅载有祸无福愿绝交但生一心灭资兴无可新生这张大字报贴出后边上立即有人补贴上一张说我们对资产阶级思想不是绝交而是消灭它在其它单位里情况同样很热烈印刷学校贴出了三万八千张大字报有以上都是批评和自我批评的内容各种资产阶级思想错误言论以及道德败坏腐化堕落等行为都被揭露无遗这个学校的同志把它说成是这是印刷学校有史以来第一次思想革命的大高潮科学技术出版社里思想交锋也很热烈有些担任领导工作的旧知识分子过去从未进行过自我批评这次群众性的思想交锋展开后编辑部主任顾济之老先生就花了一个晚上写了一份长达二千多字的大字报检讨了自己的十八条缺点并表示决心改正上海出版系统这次双反中的思想大交锋真正接触到了上海出版系统中的一个根本问题资产阶级思想因而为根本改变上海出版界的落后状况创造了条件这几年来各种各样的资产阶级思想在上海出版部门大为泛滥私营出版部门实行了全部公私合营后大批私方人员也进入了出版界人员更加庞杂在上海人民美术出版社文化出版社少年儿童出版社等单位中问题都比较严重如为了获取大量稿费收入不惜用妻子儿女的名义冒名顶替领取版税等等这种资产阶级思想的泛滥造成了出版物质量低劣思想性贫乏浪费严重等许多恶果这些问题虽然在过去曾不断受到批判但解决得很不彻底这次双反运动开始后群众即要求扫除思想障碍彻底解决但这些单位最初并未进行思想交锋就进行了整改运动就缺乏生气深入不下去后来经市委领导的指示和群众的积极建议决定转入思想批判运动就立即如火如荼终于形成了一次声势浩大内容深刻的思想革命运动现在在这些单位里已出现了一片前所未有的蓬勃景象人们精神焕发干劲百倍少年儿童出版社原计划今年出书二百七十种现已增加到四百二十种质量也要大大提高科学技术出版社已开始改变了过去严重脱离实际的作法他们保证今年大部分出版物都要直接为当前工农业生产服务人们的关系也大大改变了变得更加亲密团结真诚少年儿童出版社的丁深在大字报上说经过这次思想交锋后我觉得我们的社更可爱起来了同志们也更可爱起来了六十多岁的老画家赵蓝天在参加了这次思想批判后在病床上写了幅对联说批评始觉人情厚批评才知体力微许多单位在这次思想批判的基础上展开了制订个人又红又专规划的工作由于在这次思想批判中每个人都作了自我检查因此规划的制订也就有了良好的基础这样就做到了破资产阶级思想也开始立无产阶级思想把破与立结合了起来,1958,0
朝鲜中央人民代表团欢送志愿军工程兵部队第版专栏朝鲜中央人民代表团欢送志愿军工程兵部队据新华社平壤日电朝鲜中央人民代表团在团长地方管理相郑圣彦的率领下今天冒雨赶到某地欢送即将登车返国的志愿军工程兵部队代表团到达志愿军工程兵领导机关驻地时受到热烈欢迎今天下午朝鲜中央人民代表团举行了欢送大会郑圣彦团长在会上致送别词他感谢志愿军工程兵部队几年来给予朝鲜人民的无私帮助会上郑圣彦团长代表朝鲜劳动党最高人民会议和共和国政府崔弘极少将代表人民军总部向工程兵部队赠送了锦旗和朝中友谊纪念章工程兵部队首长杨滨上校在致答谢词中说在战争时期和停战以后朝鲜政府和人民都给了他们极大的帮助和鼓励朝鲜人民勤劳勇敢的高贵品质和崇高的国际主义精神永远是他们学习的榜样杨滨上校代表工程兵部队向代表团赠送了礼品和和平万岁纪念章附图片志愿军首批归国部队路经平壤时受到朝鲜党政领导人和群众热烈欢送朝鲜人民军战士抬起志愿军战士他们欢呼和平和友谊新华社记者孟庆彪摄在朝鲜新幕车站上朝鲜妇女李明子送别归国的志愿军文工团员梁漱华她们久久地拥抱着惜别依依新华社记者孟庆彪摄,1958,0
